Size,Time_ms,CharComparisons
100,0,1097
200,0,2505
300,0,4041
400,1,5838
500,1,7392
600,1,9057
700,1,11401
800,1,13191
900,1,15115
1000,1,16205
1100,1,18490
1200,1,20744
1300,1,23235
1400,2,24275
1500,2,27615
1600,2,29662
1700,2,31637
1800,2,32108
1900,2,34399
2000,3,35373
2100,3,37547
2200,3,41175
2300,3,43431
2400,3,47167
2500,3,47907
2600,3,49327
2700,4,53160
2800,4,54129
2900,5,56515
3000,4,59940
