Size,Time_ms,CharComparisons
100,0,342
200,1,786
300,1,1194
400,1,1640
500,1,2108
600,1,2570
700,1,2962
800,1,3440
900,1,3884
1000,1,4294
1100,1,4794
1200,1,5366
1300,1,5776
1400,1,6262
1500,1,6758
1600,2,7166
1700,2,7672
1800,2,8192
1900,2,8684
2000,2,9200
2100,2,9726
2200,3,10206
2300,3,10636
2400,3,11312
2500,4,11826
2600,4,12334
2700,4,12876
2800,4,13506
2900,5,14012
3000,4,14470
