Size,Time_ms,CharComparisons
100,0,674
200,0,1655
300,1,2716
400,1,3856
500,1,5216
600,1,6298
700,1,7564
800,1,8987
900,1,10375
1000,1,11977
1100,1,13209
1200,1,14428
1300,1,15886
1400,1,17208
1500,2,18870
1600,2,20407
1700,2,21908
1800,2,23599
1900,2,25336
2000,3,27108
2100,3,28697
2200,3,29974
2300,3,31336
2400,3,32691
2500,3,34242
2600,4,35860
2700,4,37278
2800,4,39007
2900,4,40547
3000,4,42558
