Size,Time_ms,CharComparisons
100,0,340
200,1,800
300,1,1238
400,1,1666
500,1,2076
600,1,2526
700,1,2940
800,1,3396
900,1,3822
1000,1,4366
1100,1,4820
1200,1,5266
1300,1,5710
1400,1,6226
1500,1,6688
1600,2,7198
1700,2,7712
1800,2,8302
1900,2,8696
2000,2,9134
2100,3,9770
2200,3,10248
2300,3,10684
2400,3,11228
2500,4,11832
2600,4,12370
2700,4,12842
2800,4,13322
2900,4,14032
3000,5,14544
