Size,Time_ms,CharComparisons
100,0,1085
200,0,2592
300,0,4224
400,0,5713
500,1,7422
600,1,9563
700,1,11175
800,1,12458
900,1,14976
1000,1,15917
1100,1,18539
1200,1,20695
1300,2,22897
1400,2,25491
1500,2,27053
1600,2,28289
1700,2,31114
1800,2,32383
1900,2,34580
2000,3,36896
2100,3,37239
2200,3,40681
2300,3,43777
2400,3,46857
2500,4,48506
2600,4,50422
2700,4,52341
2800,4,55188
2900,4,56930
3000,4,59705
