Size,Time_ms,CharComparisons
100,0,685
200,0,1644
300,0,2691
400,1,3861
500,1,5216
600,1,6291
700,1,7556
800,1,8925
900,1,10412
1000,1,12026
1100,1,13194
1200,1,14459
1300,1,15867
1400,1,17263
1500,2,18853
1600,2,20370
1700,2,21917
1800,2,23592
1900,2,25254
2000,3,27142
2100,3,28745
2200,3,29925
2300,3,31251
2400,3,32594
2500,3,34365
2600,3,35777
2700,4,37342
2800,4,39147
2900,4,40616
3000,4,42548
