Size,Time_ms,CharComparisons
100,0,328
200,0,793
300,0,1421
400,0,2184
500,0,3065
600,0,4020
700,0,5134
800,0,6411
900,0,7596
1000,0,9149
1100,0,10722
1200,0,12263
1300,0,14114
1400,0,16027
1500,0,17972
1600,0,19996
1700,0,21976
1800,0,24321
1900,0,26191
2000,1,28859
2100,1,31798
2200,1,33777
2300,1,36321
2400,1,39092
2500,1,41934
2600,1,44454
2700,1,47325
2800,1,50272
2900,1,52823
3000,1,56734
