Size,Time_ms,CharComparisons
100,0,1008
200,0,2291
300,0,5424
400,0,6003
500,0,10569
600,0,12676
700,0,15112
800,0,17115
900,0,21117
1000,0,18423
1100,1,33191
1200,1,36196
1300,1,39842
1400,1,31242
1500,1,38393
1600,1,49502
1700,1,43009
1800,2,63583
1900,2,60358
2000,2,73756
2100,2,78481
2200,2,69302
2300,2,87893
2400,2,91971
2500,2,82659
2600,3,98282
2700,2,77802
2800,3,114479
2900,4,118857
3000,3,100183
