Size,Time_ms,CharComparisons
100,0,348
200,1,780
300,1,1220
400,1,1658
500,1,2086
600,1,2534
700,1,2964
800,1,3440
900,1,3914
1000,1,4298
1100,1,4820
1200,1,5264
1300,1,5790
1400,1,6204
1500,1,6738
1600,2,7182
1700,2,7716
1800,2,8186
1900,2,8682
2000,2,9254
2100,3,9760
2200,3,10184
2300,3,10736
2400,3,11326
2500,3,11770
2600,4,12302
2700,4,12842
2800,4,13436
2900,4,13968
3000,5,14546
