Size,Time_ms,CharComparisons
100,0,2704
200,0,7951
300,0,11983
400,0,15955
500,1,20689
600,1,25047
700,1,28875
800,1,32880
900,1,38547
1000,1,43631
1100,1,47894
1200,1,53864
1300,1,56795
1400,2,62151
1500,2,66125
1600,2,73495
1700,2,77286
1800,2,83146
1900,2,88520
2000,3,94947
2100,3,98817
2200,3,103763
2300,3,110512
2400,3,114284
2500,4,121919
2600,4,126506
2700,4,130674
2800,4,137221
2900,4,144681
3000,5,145683
