Size,Time_ms,CharComparisons
100,0,1159
200,0,2776
300,0,4646
400,1,6597
500,1,8693
600,1,10863
700,1,13090
800,1,15528
900,1,17840
1000,1,20280
1100,1,22787
1200,2,25314
1300,2,27884
1400,2,30542
1500,2,33105
1600,2,35721
1700,3,38417
1800,3,41142
1900,3,43857
2000,3,46654
2100,3,49421
2200,4,52109
2300,4,55042
2400,4,57864
2500,4,60817
2600,5,63580
2700,5,66707
2800,5,69627
2900,5,72481
3000,6,75369
