Size,Time_ms,CharComparisons
100,0,796
200,0,1665
300,0,2439
400,0,3368
500,0,4624
600,0,6179
700,0,7041
800,0,8274
900,0,8890
1000,0,10123
1100,0,11306
1200,0,13455
1300,0,14316
1400,0,14442
1500,0,16529
1600,0,19499
1700,0,19069
1800,0,21032
1900,0,24098
2000,0,21932
2100,0,24290
2200,0,26023
2300,0,26961
2400,1,30782
2500,1,29730
2600,1,31866
2700,1,33606
2800,1,35734
2900,1,33783
3000,1,36961
